Metabolite,Pathway
17R-RvD1,COX2/CYP450 -- ALOX5
17R-RvD3,COX2/CYP450 -- ALOX5
PDX,ALOX15 -- ALOX5
RvD1,ALOX15 -- ALOX5
RvD2,ALOX15 -- ALOX5
RvD3,ALOX15 -- ALOX5
RvD4,ALOX15 -- ALOX5
RvD5,ALOX15 -- ALOX5
RvD6,ALOX15 -- ALOX5
4-14-diDHA,ALOX12 -- ALOX5
7S-14S-diDHA,ALOX12 -- ALOX5
RvT1,COX2 -- ALOX5
RvT2,COX2 -- ALOX5
RvT3,COX2 -- ALOX5
RvT4,COX2 -- ALOX5
RvD1n-3-DPA,ALOX15 -- ALOX5
RvD2n-3-DPA,ALOX15 -- ALOX5
RvD5n-3-DPA,ALOX15 -- ALOX5
10S-17S-diHDPA,ALOX15 -- ALOX5
MCTR1,ALOX12 -- LTC4S/GSTM4
MCTR2,ALOX12 -- LTC4S/GSTM4
MCTR3,ALOX12 -- LTC4S/GSTM4
PCTR1,ALOX15 -- LTC4S/GSTM4
PCTR2,ALOX15 -- LTC4S/GSTM4
PCTR3,ALOX15 -- LTC4S/GSTM4
PD1,ALOX15 -- EH
22-OH-PD1,ALOX15 -- EH
17R-PD1,COX2/CYP450
01-Mar,ALOX12 -- EH
14-oxo-MaR1,ALOX12 -- EH
22-OH-MaR1,ALOX12 -- EH
02-Mar,ALOX12 -- EH
PD1n-3-DPA,ALOX15 -- EH
MaR1n-3-DPA,ALOX12 -- EH
TXB2,COX
PGD2,COX
PGE2,COX
PGE2a,COX
5-15-diHETE,ALOX15 -- ALOX5
LXA4,ALOX15 -- ALOX5
LXB4,ALOX15 -- ALOX5
15R-LXA4,COX2/CYP450 -- ALOX5
15R-LXB4,COX2/CYP450 -- ALOX5
5-12-diHETE,ALOX12 -- ALOX5
12-epi-6-trans-LTB4,ALOX5
6-trans-LTB4,ALOX5
LTB4,ALOX5 -- LTA4H
20-OH-LTB4,ALOX5 -- LTA4H
20-COOH-LTB4,ALOX5 -- LTA4H
LTC4,ALOX5 -- LTC4S
LTD4,ALOX5 -- LTC4S
LTE4,ALOX5 -- LTC4S
RvE1,COX2/CYP450 -- ALOX5
RvE2,COX2/CYP450 -- ALOX5
RvE3,COX2/CYP450