Final_Name,Other_Name
X17R.RvD1,X17RRvD1
X17R.RvD3,X17RRvD3
X10S.17S.diHDHA,X10S17SdiHDHA
X10S.EZE.17S.diHDHA,X10SEZE17SdiHDHA
X10S.EEE.17S.diHDHA,X10SEEE17SdiHDHA
X10S.17S.diHDHA,X1017diHDHA
X22.OH.PD1,X22OHPD1
X17R.PD1,X17RPD1
MaR1,Maresin1
MaR1,mar1
MaR1,maR1
X7S.14S.diHDHA,X7S14SdiHDHA
X7S.14S.diHDHA,X714diHDHA
X7S.EZE.14S.diHDHA,X7SEZE14SdiHDHA
X7S.EEE.14S.diHDHA,X7SEEE14SdiHDHA
MaR2,Maresin2
MaR2,mar2
MaR2,maR2
X22.OH.MaR1,X22OHmaR1
X22.OH.MaR1,X22OHmar1
X22.OH.MaR1,X22OHMaR1
X22.COOH.MaR1,X22COOHMaR1
X22.COOH.MaR1,X22COOHmaR1
X22.COOH.MaR1,X22COOHmar1
X14.oxo.MaR1,X14oxoMaR1
X14.oxo.MaR1,X14oxomaR1
X14.oxo.MaR1,X14oxomar1
X4S.14S.diHDHA,X4S14SdiHDHA
X4S.EZE.14S.diHDHA,X4SEZE14SdiHDHA
X4S.EEE.14S.diHDHA,X4SEEE14SdiHDHA
X4S.14S.diHDHA,X414diHDHA
RvT1,RvT1n3dpa
RvT1,RvT1n3DPA
RvT2,RvT2n3dpa
RvT2,RvT2n3DPA
RvT3,RvT3n3dpa
RvT3,RvT3n3DPA
RvT4,RvT4n3dpa
RvT4,RvT4n3DPA
RvD1n.3.dpa,RvD1n3dpa
RvD1n.3.dpa,RvD1n3DPA
RvD2n.3.dpa,RvD2n3dpa
RvD2n.3.dpa,RvD2n3DPA
RvD5n.3.dpa,RvD5n3dpa
RvD5n.3.dpa,RvD5n3DPA
PD1n.3.dpa,PD1n3dpa
PD1n.3.dpa,PD1n3DPA
PD2n.3.dpa,PD2n3dpa
PD2n.3.dpa,PD2n3DPA
X10S.17S.diHDPA,X10S17SdiHDPA
X10S.EZE.17S.diHDPA,X10SEZE17SdiHDPA
X10S.EEE.17S.diHDPA,X10SEEE17SdiHDPA
X10S.17S.diHDPA,X1017diHDPA
X22.OH.PD1n.3.dpa,X22OHPD1n3dpa
X22.OH.PD1n.3.dpa,X22OHPD1n3DPA
MaR1n.3.dpa,MaR1n3dpa
MaR1n.3.dpa,maR1n3dpa
MaR1n.3.dpa,mar1n3dpa
MaR1n.3.dpa,MaR1n3DPA
MaR1n.3.dpa,maR1n3DPA
MaR1n.3.dpa,mar1n3DPA
MaR2n.3.dpa,MaR2n3dpa
MaR2n.3.dpa,maR2n3dpa
MaR2n.3.dpa,mar2n3dpa
MaR2n.3.dpa,MaR2n3DPA
MaR2n.3.dpa,maR2n3DPA
MaR2n.3.dpa,mar2n3DPA
X7S.14S.diHDPA,X714diHDPA
X7S.14S.diHDPA,X7S14SdiHDPA
X7S.EZE.14S.diHDPA,X7SEZE14SdiHDPA
X7S.EEE.14S.diHDPA,X7SEEE14SdiHDPA
X5S.EZE.12S.diHETE,X5SEZE12SdiHETE
X5S.EEE.12S.diHETE,X5SEEE12SdiHETE
X5S.12S.diHETE,X5S12SdiHETE
X5S.12S.diHETE,X512diHETE
X5S.EZE.15S.diHETE,X5SEZE15SdiHETE
X5S.EEE.15S.diHETE,X5SEEE15SdiHETE
X5S.15S.diHETE,X5S15SdiHETE
X5S.15S.diHETE,X515diHETE
X13.14.dehydro.15.oxo.LXA5,X1314dehydro15oxoLXA5
X15.oxo.LXA4,X15oxoLXA4
X15.LXA4,X15LXA4
X15.epi.LXA4,X15epiLXA4
X15.LXA4,X15RLXA4
X15.LXA4,X15SLXA4
X15.LXB4,X15LXB4
X15.epi.LXB4,X15epiLXB4
X15.LXB4,X15RLXB4
X15.LXB4,X15SLXB4
X6.trans.LTB4,X6transLTB4
X6.trans.LTB4,X6epiLTB4
X6.trans.12.epi.LTB4,X6trans12epiLTB4
X6.trans.12.epi.LTB4,X12epi6transLTB4
X6.trans.12.epi.LTB4,X6epi12transLTB4
X20.OH.LTB4,X20OHLTB4
X20.COOH.LTB4,X20COOHLTB4
X17.HDPA,X17HDPA
X14.HDPA,X14HDPA
X13.HDPA,X13HDPA
X7.HDPA,X7HDPA
X17.HDHA,X17HDHA
X14.HDHA,X14HDHA
X13.HDHA,X13HDHA
X7.HDHA,X7HDHA
X4.HDHA,X4HDHA
X18.HEPE,X18HEPE
X15.HEPE,X15HEPE
X12.HEPE,X12HEPE
X11.HEPE,X11HEPE
X5.HEPE,X5HEPE
X20.HETE,X20HETE
X15.HETE,X15HETE
X12.HETE,X12HETE
X11.HETE,X11HETE
X5.HETE,X5HETE
PCTR1,PCTR1
PCTR2,PCTR2
PCTR3,PCTR3
MCTR1,MCTR1
MCTR2,MCTR2
MCTR3,MCTR3
LTC4,LTC4
LTD4,LTD4
LTE4,LTE4